trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,u,v,key,travel_time_s,time_source,projection_method,projection_quality
LIMA_P0_L4_LIM-0135_LIM-0134_0,LIMA_P0_L4_LIM-0135_LIM-0134_0,L4,1.0,,,LIM-0135,LIM-0134,0,174.9634475233711,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0135_LIM-0136_0,LIMA_P0_L4_LIM-0135_LIM-0136_0,L4,0.0,,,LIM-0135,LIM-0136,0,85.61842307466966,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0136_LIM-0135_0,LIMA_P0_L4_LIM-0136_LIM-0135_0,L4,1.0,,,LIM-0136,LIM-0135,0,85.61842307466966,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0136_LIM-0137_0,LIMA_P0_L4_LIM-0136_LIM-0137_0,L4,0.0,,,LIM-0136,LIM-0137,0,114.25942272446282,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0136_LIM-0029_0,LIMA_P0_TRANSFER_LIM-0136_LIM-0029_0,TRANSFER,,,,LIM-0136,LIM-0029,0,200.6730355101915,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L4_LIM-0137_LIM-0136_0,LIMA_P0_L4_LIM-0137_LIM-0136_0,L4,1.0,,,LIM-0137,LIM-0136,0,114.25942272446282,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0137_LIM-0138_0,LIMA_P0_L4_LIM-0137_LIM-0138_0,L4,0.0,,,LIM-0137,LIM-0138,0,89.57878841469906,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0137_LIM-0109_0,LIMA_P0_TRANSFER_LIM-0137_LIM-0109_0,TRANSFER,,,,LIM-0137,LIM-0109,0,68.63044495636365,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L4_LIM-0138_LIM-0137_0,LIMA_P0_L4_LIM-0138_LIM-0137_0,L4,1.0,,,LIM-0138,LIM-0137,0,89.57878841469906,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0138_LIM-0139_0,LIMA_P0_L4_LIM-0138_LIM-0139_0,L4,0.0,,,LIM-0138,LIM-0139,0,121.89231991990168,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0139_LIM-0138_0,LIMA_P0_L4_LIM-0139_LIM-0138_0,L4,1.0,,,LIM-0139,LIM-0138,0,121.89231991990168,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0139_LIM-0140_0,LIMA_P0_L4_LIM-0139_LIM-0140_0,L4,0.0,,,LIM-0139,LIM-0140,0,84.23711948584912,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0140_LIM-0139_0,LIMA_P0_L4_LIM-0140_LIM-0139_0,L4,1.0,,,LIM-0140,LIM-0139,0,84.23711948584912,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0140_LIM-0141_0,LIMA_P0_L4_LIM-0140_LIM-0141_0,L4,0.0,,,LIM-0140,LIM-0141,0,109.55017639999882,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0141_LIM-0140_0,LIMA_P0_L4_LIM-0141_LIM-0140_0,L4,1.0,,,LIM-0141,LIM-0140,0,109.55017639999882,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0141_LIM-0142_0,LIMA_P0_L4_LIM-0141_LIM-0142_0,L4,0.0,,,LIM-0141,LIM-0142,0,79.04037537810237,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0142_LIM-0141_0,LIMA_P0_L4_LIM-0142_LIM-0141_0,L4,1.0,,,LIM-0142,LIM-0141,0,79.04037537810237,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0142_LIM-0143_0,LIMA_P0_L4_LIM-0142_LIM-0143_0,L4,0.0,,,LIM-0142,LIM-0143,0,120.07972269585794,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0143_LIM-0142_0,LIMA_P0_L4_LIM-0143_LIM-0142_0,L4,1.0,,,LIM-0143,LIM-0142,0,120.07972269585794,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0143_LIM-0144_0,LIMA_P0_L4_LIM-0143_LIM-0144_0,L4,0.0,,,LIM-0143,LIM-0144,0,130.40999861549733,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0143_LIM-0190_0,LIMA_P0_TRANSFER_LIM-0143_LIM-0190_0,TRANSFER,,,,LIM-0143,LIM-0190,0,114.96815657559728,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L4_LIM-0144_LIM-0143_0,LIMA_P0_L4_LIM-0144_LIM-0143_0,L4,1.0,,,LIM-0144,LIM-0143,0,130.40999861549733,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0144_LIM-0145_0,LIMA_P0_L4_LIM-0144_LIM-0145_0,L4,0.0,,,LIM-0144,LIM-0145,0,175.2107859699991,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0145_LIM-0144_0,LIMA_P0_L4_LIM-0145_LIM-0144_0,L4,1.0,,,LIM-0145,LIM-0144,0,175.2107859699991,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0145_LIM-0146_0,LIMA_P0_L4_LIM-0145_LIM-0146_0,L4,0.0,,,LIM-0145,LIM-0146,0,119.6767476469777,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0146_LIM-0145_0,LIMA_P0_L4_LIM-0146_LIM-0145_0,L4,1.0,,,LIM-0146,LIM-0145,0,119.6767476469777,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0146_LIM-0147_0,LIMA_P0_L4_LIM-0146_LIM-0147_0,L4,0.0,,,LIM-0146,LIM-0147,0,137.35474377582324,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0146_LIM-0093_0,LIMA_P0_TRANSFER_LIM-0146_LIM-0093_0,TRANSFER,,,,LIM-0146,LIM-0093,0,81.42128766126064,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L4_LIM-0147_LIM-0146_0,LIMA_P0_L4_LIM-0147_LIM-0146_0,L4,1.0,,,LIM-0147,LIM-0146,0,137.35474377582324,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0147_LIM-0148_0,LIMA_P0_L4_LIM-0147_LIM-0148_0,L4,0.0,,,LIM-0147,LIM-0148,0,79.77740749491306,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
