u,v,key,line,length_m,spatial,transfer,edge_type,structure,geometry_wkt,source_line,target_line,transfer_distance_m,transfer_basis,travel_time_s,time_source,projection_method,projection_distance,projection_quality,reference_count,temporal_rate_s_per_m,observed
LIM-0128,LIM-0127,0,L4,2009.9966615365672,True,False,in_line,At Grade,"LINESTRING (-76.94857 -12.06882, -76.93806 -12.05395)",,,,,151.2489684712002,projected_lima_scenario,knn_inverse_distance_rate,0.5224410244311684,mode_fallback,12,0.07524836800254982,False
LIM-0128,LIM-0129,0,L4,931.9182794706056,True,False,in_line,At Grade,"LINESTRING (-76.94857 -12.06882, -76.95668 -12.07153)",,,,,114.46304884066178,projected_lima_scenario,knn_inverse_distance_rate,0.5053553446805717,mode_fallback,12,0.12282519976503171,False
LIM-0129,LIM-0128,0,L4,931.9182794706056,True,False,in_line,At Grade,"LINESTRING (-76.95668 -12.07153, -76.94857 -12.06882)",,,,,114.46304884066178,projected_lima_scenario,knn_inverse_distance_rate,0.5053553446805717,mode_fallback,12,0.12282519976503171,False
LIM-0129,LIM-0130,0,L4,882.6987037086996,True,False,in_line,At Grade,"LINESTRING (-76.95668 -12.07153, -76.96368 -12.07555)",,,,,116.15793389673577,projected_lima_scenario,knn_inverse_distance_rate,0.5011034568074583,mode_fallback,12,0.1315940914025282,False
LIM-0130,LIM-0129,0,L4,882.6987037086996,True,False,in_line,At Grade,"LINESTRING (-76.96368 -12.07555, -76.95668 -12.07153)",,,,,116.15793389673577,projected_lima_scenario,knn_inverse_distance_rate,0.5011034568074583,mode_fallback,12,0.1315940914025282,False
LIM-0130,LIM-0131,0,L4,1403.6933044031284,True,False,in_line,At Grade,"LINESTRING (-76.96368 -12.07555, -76.97338 -12.08388)",,,,,128.8251519449986,projected_lima_scenario,knn_inverse_distance_rate,0.5119595148444076,mode_fallback,12,0.09177585412774837,False
LIM-0131,LIM-0130,0,L4,1403.6933044031284,True,False,in_line,At Grade,"LINESTRING (-76.97338 -12.08388, -76.96368 -12.07555)",,,,,128.8251519449986,projected_lima_scenario,knn_inverse_distance_rate,0.5119595148444076,mode_fallback,12,0.09177585412774837,False
LIM-0131,LIM-0132,0,L4,1222.7057855598082,True,False,in_line,At Grade,"LINESTRING (-76.97338 -12.08388, -76.98455 -12.08515)",,,,,120.83506479578617,projected_lima_scenario,knn_inverse_distance_rate,0.5069110800650843,mode_fallback,12,0.09882595324472321,False
LIM-0132,LIM-0131,0,L4,1222.7057855598082,True,False,in_line,At Grade,"LINESTRING (-76.98455 -12.08515, -76.97338 -12.08388)",,,,,120.83506479578617,projected_lima_scenario,knn_inverse_distance_rate,0.5069110800650843,mode_fallback,12,0.09882595324472321,False
LIM-0132,LIM-0133,0,L4,1327.4964934538953,True,False,in_line,At Grade,"LINESTRING (-76.98455 -12.08515, -76.99661 -12.08701)",,,,,156.36906835409025,projected_lima_scenario,knn_inverse_distance_rate,0.5156543767924558,mode_fallback,12,0.11779245303107916,False
LIM-0133,LIM-0132,0,L4,1327.4964934538953,True,False,in_line,At Grade,"LINESTRING (-76.99661 -12.08701, -76.98455 -12.08515)",,,,,156.36906835409025,projected_lima_scenario,knn_inverse_distance_rate,0.5156543767924558,mode_fallback,12,0.11779245303107916,False
LIM-0133,LIM-0134,0,L4,763.2257348521024,True,False,in_line,At Grade,"LINESTRING (-76.99661 -12.08701, -77.00355 -12.08804)",,,,,91.88061825878142,projected_lima_scenario,knn_inverse_distance_rate,0.5030399619592033,mode_fallback,12,0.12038459142967187,False
LIM-0134,LIM-0133,0,L4,763.2257348521024,True,False,in_line,At Grade,"LINESTRING (-77.00355 -12.08804, -76.99661 -12.08701)",,,,,91.88061825878142,projected_lima_scenario,knn_inverse_distance_rate,0.5030399619592033,mode_fallback,12,0.12038459142967187,False
LIM-0134,LIM-0135,0,L4,1715.7619839621198,True,False,in_line,At Grade,"LINESTRING (-77.00355 -12.08804, -77.01916 -12.0903)",,,,,174.9634475233711,projected_lima_scenario,knn_inverse_distance_rate,0.518718951497189,mode_fallback,12,0.10197419523151871,False
LIM-0134,LIM-0057,0,TRANSFER,63.85198728709647,False,True,transfer,Transfer,"LINESTRING (-77.00355 -12.08804, -77.00367875397205 -12.087479736764962)",L4,L1,63.85198728709647,matching_name_and_proximity,98.20998940591372,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.538088218998322,False
LIM-0135,LIM-0134,0,L4,1715.7619839621198,True,False,in_line,At Grade,"LINESTRING (-77.01916 -12.0903, -77.00355 -12.08804)",,,,,174.9634475233711,projected_lima_scenario,knn_inverse_distance_rate,0.518718951497189,mode_fallback,12,0.10197419523151871,False
LIM-0135,LIM-0136,0,L4,386.91702183455016,True,False,in_line,At Grade,"LINESTRING (-77.01916 -12.0903, -77.02269 -12.09074)",,,,,85.61842307466966,projected_lima_scenario,knn_inverse_distance_rate,0.6396582020784454,mode_fallback,12,0.22128368162432774,False
LIM-0136,LIM-0135,0,L4,386.91702183455016,True,False,in_line,At Grade,"LINESTRING (-77.02269 -12.09074, -77.01916 -12.0903)",,,,,85.61842307466966,projected_lima_scenario,knn_inverse_distance_rate,0.6396582020784454,mode_fallback,12,0.22128368162432774,False
LIM-0136,LIM-0137,0,L4,1200.8298865641923,True,False,in_line,At Grade,"LINESTRING (-77.02269 -12.09074, -77.03362 -12.09229)",,,,,114.25942272446282,projected_lima_scenario,knn_inverse_distance_rate,0.5197414934300313,mode_fallback,12,0.09515038225054612,False
LIM-0136,LIM-0029,0,TRANSFER,186.8076426122298,False,True,transfer,Transfer,"LINESTRING (-77.02269 -12.09074, -77.02354 -12.08928)",L4,BRT,186.8076426122298,matching_name_and_proximity,200.6730355101915,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.0742228353405385,False
LIM-0137,LIM-0136,0,L4,1200.8298865641923,True,False,in_line,At Grade,"LINESTRING (-77.03362 -12.09229, -77.02269 -12.09074)",,,,,114.25942272446282,projected_lima_scenario,knn_inverse_distance_rate,0.5197414934300313,mode_fallback,12,0.09515038225054612,False
LIM-0137,LIM-0138,0,L4,553.8042145009643,True,False,in_line,At Grade,"LINESTRING (-77.03362 -12.09229, -77.03866 -12.09301)",,,,,89.57878841469906,projected_lima_scenario,knn_inverse_distance_rate,0.526214385320278,mode_fallback,12,0.161751727540425,False
LIM-0137,LIM-0109,0,TRANSFER,28.356533947636382,False,True,transfer,Transfer,"LINESTRING (-77.03362 -12.09229, -77.03336 -12.09231)",L4,L3,28.356533947636382,matching_name_and_proximity,68.63044495636365,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,2.420269172639283,False
LIM-0138,LIM-0137,0,L4,553.8042145009643,True,False,in_line,At Grade,"LINESTRING (-77.03866 -12.09301, -77.03362 -12.09229)",,,,,89.57878841469906,projected_lima_scenario,knn_inverse_distance_rate,0.526214385320278,mode_fallback,12,0.161751727540425,False
LIM-0138,LIM-0139,0,L4,953.4515794292746,True,False,in_line,At Grade,"LINESTRING (-77.03866 -12.09301, -77.04734 -12.09423)",,,,,121.89231991990168,projected_lima_scenario,knn_inverse_distance_rate,0.5031793553372991,mode_fallback,12,0.12784321988628417,False
