GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0098,Pedro Miotta,L3,1,Sub,At Grade,-12.15726,-76.98121,0,0,0,0,-12.15726,-76.98121,POINT (-76.98121 -12.15726)
LIM-0099,Los Heroes,L3,2,Sub,At Grade,-12.14803,-76.98265,0,0,0,0,-12.14803,-76.98265,POINT (-76.98265 -12.14803)
LIM-0100,Las Gardenias,L3,3,Sub,At Grade,-12.13168,-76.97854,0,0,0,0,-12.13168,-76.97854,POINT (-76.97854 -12.13168)
LIM-0101,Alejandro Velasco,L3,4,Sub,At Grade,-12.12779,-76.98764,0,0,0,0,-12.12779,-76.98764,POINT (-76.98764 -12.12779)
LIM-0102,Cabitos,L3,5,Sub,At Grade,-12.12894,-77.0009,0,0,0,0,-12.12894,-77.0009,POINT (-77.0009 -12.12894)
LIM-0103,Juana Alarco,L3,6,Sub,At Grade,-12.12753,-77.0097,0,0,0,0,-12.12753,-77.0097,POINT (-77.0097 -12.12753)
LIM-0104,Panamá,L3,7,Sub,At Grade,-12.12631,-77.01788,0,0,0,0,-12.12631,-77.01788,POINT (-77.01788 -12.12631)
LIM-0105,Parque Reducto,L3,8,Sub,At Grade,-12.12539,-77.02383,0,0,0,0,-12.12539,-77.02383,POINT (-77.02383 -12.12539)
LIM-0106,Parque Central de Miraflores,L3,9,Sub,At Grade,-12.12071,-77.02915,0,0,0,0,-12.12071,-77.02915,POINT (-77.02915 -12.12071)
LIM-0107,Huaca Pucllana,L3,10,Sub,At Grade,-12.11162,-77.03025,0,0,0,0,-12.11162,-77.03025,POINT (-77.03025 -12.11162)
LIM-0108,Andrés Aramburú,L3,11,Sub,At Grade,-12.10361,-77.0316,0,0,0,0,-12.10361,-77.0316,POINT (-77.0316 -12.10361)
LIM-0109,Conde de San Isidro,L3,12,Sub,At Grade,-12.09231,-77.03336,0,0,0,0,-12.09231,-77.03336,POINT (-77.03336 -12.09231)
