GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,geometry,_x,_y,is_cbd,geometry_wkt
227,441,441,IRT,Lenox - White Plains Rd,110 St-Malcolm X Plaza,M,False,2 3,Subway,40.799075,-73.951822,Uptown,Downtown,0,0,0,,POINT (-73.951822 40.799075),POINT (-73.951822 40.799075),-8232279.168274807,4982750.292153,False,POINT (-73.951822 40.799075)
A19,157,157,IND,8th Av - Fulton St,96 St,M,False,C B,Subway,40.791642,-73.964696,Uptown,Downtown,0,0,0,,POINT (-73.964696 40.791642),POINT (-73.964696 40.791642),-8233712.295399278,4981657.312855311,False,POINT (-73.964696 40.791642)
R36,32,32,BMT,4th Av,36 St,Bk,False,D N R,Subway,40.655144,-74.003549,Manhattan,Southbound,0,0,0,,POINT (-74.003549 40.655144),POINT (-74.003549 40.655144),-8238037.39157507,4961607.784243869,False,POINT (-74.003549 40.655144)
F04,257,257,IND,Queens Blvd,Sutphin Blvd,Q,False,F,Subway,40.70546,-73.810708,Jamaica,Manhattan,0,0,0,,POINT (-73.810708 40.70546),POINT (-73.810708 40.70546),-8216570.429651004,4968993.67376164,False,POINT (-73.810708 40.70546)
A55,188,188,IND,8th Av - Fulton St,Euclid Av,Bk,False,A C,Subway,40.675377,-73.872106,Manhattan,Queens,1,1,1,,POINT (-73.872106 40.675377),POINT (-73.872106 40.675377),-8223405.22374673,4964577.117750073,False,POINT (-73.872106 40.675377)
R22,17,17,BMT,Broadway - Brighton,Prince St,M,True,R W,Subway,40.724329,-73.997702,Uptown,Downtown,0,0,0,,POINT (-73.997702 40.724329),POINT (-73.997702 40.724329),-8237386.506512401,4971764.894162043,True,POINT (-73.997702 40.724329)
111,301,301,IRT,Broadway - 7Av,181 St,M,False,1,Subway,40.849505,-73.933596,The Bronx,Downtown,0,0,0,,POINT (-73.933596 40.849505),POINT (-73.933596 40.849505),-8230250.2592356065,4990168.964034763,False,POINT (-73.933596 40.849505)
S26,506,506,SIR,Staten Island,Old Town,SI,False,SIR,Embankment,40.596612,-74.087368,Ferry,South Shore,0,0,0,,POINT (-74.087368 40.596612),POINT (-74.087368 40.596612),-8247368.079973871,4953022.8725417955,False,POINT (-74.087368 40.596612)
A34,169,169,IND,8th Av - Fulton St,Canal St,M,True,A C E,Subway,40.720824,-74.005229,Uptown,Downtown,0,0,0,,POINT (-74.005229 40.720824),POINT (-74.005229 40.720824),-8238224.408319603,4971250.0683441395,True,POINT (-74.005229 40.720824)
A02,143,143,IND,8th Av - Fulton St,Inwood-207 St,M,False,A,Subway,40.868072,-73.919899,Last Stop,Downtown,1,1,1,,POINT (-73.919899 40.868072),POINT (-73.919899 40.868072),-8228725.516170212,4992901.745786389,False,POINT (-73.919899 40.868072)
D33,49,49,BMT,Broadway - Brighton,Avenue J,Bk,False,Q,Open Cut,40.625039,-73.960803,Manhattan,Southbound,0,0,0,,POINT (-73.960803 40.625039),POINT (-73.960803 40.625039),-8233278.92862162,4957191.332241276,False,POINT (-73.960803 40.625039)
245,357,357,IRT,Nostrand,Beverly Rd,Bk,False,2 5,Subway,40.645098,-73.948959,Manhattan,Flatbush,0,0,0,,POINT (-73.948959 40.645098),POINT (-73.948959 40.645098),-8231960.460572665,4960133.798411783,False,POINT (-73.948959 40.645098)
708,452,452,IRT,Flushing,90 St-Elmhurst Av,Q,False,7,Elevated,40.748408,-73.876613,Outbound,Manhattan,0,0,0,,POINT (-73.876613 40.748408),POINT (-73.876613 40.748408),-8223906.940691735,4975302.429312135,False,POINT (-73.876613 40.748408)
M14,100,100,BMT,Jamaica,Hewes St,Bk,False,M J,Elevated,40.70687,-73.953431,Outbound,Manhattan,0,0,0,,POINT (-73.953431 40.70687),POINT (-73.953431 40.70687),-8232458.281335492,4969200.728110074,False,POINT (-73.953431 40.70687)
405,380,380,IRT,Jerome Av,Bedford Park Blvd-Lehman College,Bx,False,4,Elevated,40.873412,-73.890064,Northbound,Manhattan,0,0,0,,POINT (-73.890064 40.873412),POINT (-73.890064 40.873412),-8225404.299162394,4993687.854937827,False,POINT (-73.890064 40.873412)
L03,117,602,BMT,Canarsie,14 St-Union Sq,M,True,L,Subway,40.734789,-73.99073,West Side,Brooklyn,1,1,1,,POINT (-73.99073 40.734789),POINT (-73.99073 40.734789),-8236610.38702259,4973301.454247474,True,POINT (-73.99073 40.734789)
L14,125,125,BMT,Canarsie,Morgan Av,Bk,False,L,Subway,40.706152,-73.933147,Manhattan,Outbound,0,0,0,,POINT (-73.933147 40.706152),POINT (-73.933147 40.706152),-8230200.276784242,4969095.291376357,False,POINT (-73.933147 40.706152)
D15,225,225,IND,6th Av - Culver,47-50 Sts-Rockefeller Ctr,M,True,B D F M,Subway,40.758663,-73.981329,Uptown,Downtown,1,1,1,,POINT (-73.981329 40.758663),POINT (-73.981329 40.758663),-8235563.872489643,4976809.418293929,True,POINT (-73.981329 40.758663)
719,462,606,IRT,Flushing,Court Sq,Q,False,7,Elevated,40.747023,-73.945264,Outbound,Manhattan,1,1,1,,POINT (-73.945264 40.747023),POINT (-73.945264 40.747023),-8231549.135054183,4975098.91911654,False,POINT (-73.945264 40.747023)
135,325,325,IRT,Broadway - 7Av,Canal St,M,True,1,Subway,40.722854,-74.006277,Uptown,Downtown,0,0,0,,POINT (-74.006277 40.722854),POINT (-74.006277 40.722854),-8238341.071145954,4971548.238053207,True,POINT (-74.006277 40.722854)
A63,193,193,IND,Liberty Av,104 St,Q,False,A,Elevated,40.681711,-73.837683,Manhattan,Ozone Park,0,0,0,,POINT (-73.837683 40.681711),POINT (-73.837683 40.681711),-8219573.272915152,4965506.861505586,False,POINT (-73.837683 40.681711)
M21,105,622,BMT,Jamaica,Chambers St,M,True,J Z,Subway,40.713243,-74.003401,Brooklyn,Downtown,1,1,1,,POINT (-74.003401 40.713243),POINT (-74.003401 40.713243),-8238020.916290432,4970136.639086684,True,POINT (-74.003401 40.713243)
L05,118,118,BMT,Canarsie,3 Av,M,True,L,Subway,40.732849,-73.986122,West Side,Brooklyn,0,0,0,,POINT (-73.986122 40.732849),POINT (-73.986122 40.732849),-8236097.426809015,4973016.452582903,True,POINT (-73.986122 40.732849)
D04,212,212,IND,Concourse,Kingsbridge Rd,Bx,False,B D,Subway,40.866978,-73.893509,Northbound,Manhattan,1,1,1,,POINT (-73.893509 40.866978),POINT (-73.893509 40.866978),-8225787.794808176,4992740.704282627,False,POINT (-73.893509 40.866978)
249,344,344,IRT,Eastern Pky,Kingston Av,Bk,False,3,Subway,40.669399,-73.942161,Manhattan,Outbound,0,0,0,,POINT (-73.942161 40.669399),POINT (-73.942161 40.669399),-8231203.710674252,4963699.7108990755,False,POINT (-73.942161 40.669399)
R26,22,22,BMT,Broadway,Rector St,M,True,R W,Subway,40.70722,-74.013342,Uptown,Downtown,0,0,0,,POINT (-74.013342 40.70722),POINT (-74.013342 40.70722),-8239127.543348407,4969252.125258689,True,POINT (-74.013342 40.70722)
J19,86,86,BMT,Jamaica,Cypress Hills,Bk,False,J,Elevated,40.689941,-73.87255,Queens,Manhattan,0,0,0,,POINT (-73.87255 40.689941),POINT (-73.87255 40.689941),-8223454.649600642,4966715.043873628,False,POINT (-73.87255 40.689941)
A40,173,173,IND,8th Av - Fulton St,High St,Bk,False,A C,Subway,40.699337,-73.990531,Manhattan,Outbound,0,0,0,,POINT (-73.990531 40.699337),POINT (-73.990531 40.699337),-8236588.2344439225,4968094.580086009,False,POINT (-73.990531 40.699337)
G08,261,261,IND,Queens Blvd,Forest Hills-71 Av,Q,False,E F M R,Subway,40.721691,-73.844521,Outbound,Manhattan,1,1,1,,POINT (-73.844521 40.721691),POINT (-73.844521 40.721691),-8220334.475593197,4971377.413604884,False,POINT (-73.844521 40.721691)
L20,130,130,BMT,Canarsie,Wilson Av,Bk,False,L,Subway,40.688764,-73.904046,Manhattan,Outbound,2,1,0,Manhattan-bound only,POINT (-73.904046 40.688764),POINT (-73.904046 40.688764),-8226960.768282665,4966542.248503484,False,POINT (-73.904046 40.688764)
G33,289,289,IND,Crosstown,Bedford-Nostrand Avs,Bk,False,G,Subway,40.689627,-73.953522,Queens,Southbound,0,0,0,,POINT (-73.953522 40.689627),POINT (-73.953522 40.689627),-8232468.4114091555,4966668.945235087,False,POINT (-73.953522 40.689627)
S11,523,523,SIR,Staten Island,Arthur Kill,SI,False,SIR,At Grade,40.516578,-74.242096,Ferry,Tottenville,1,1,1,,POINT (-74.242096 40.516578),POINT (-74.242096 40.516578),-8264592.3221453335,4941296.408987804,False,POINT (-74.242096 40.516578)
L26,135,135,BMT,Canarsie,Livonia Av,Bk,False,L,Elevated,40.664038,-73.900571,Manhattan,Canarsie,1,1,1,,POINT (-73.900571 40.664038),POINT (-73.900571 40.664038),-8226573.93305216,4962912.92966323,False,POINT (-73.900571 40.664038)
131,321,321,IRT,Broadway - 7Av,18 St,M,True,1,Subway,40.74104,-73.997871,Uptown,Downtown,0,0,0,,POINT (-73.997871 40.74104),POINT (-73.997871 40.74104),-8237405.319506346,4974219.833156326,True,POINT (-73.997871 40.74104)
L19,129,129,BMT,Canarsie,Halsey St,Q,False,L,Subway,40.695602,-73.904084,Manhattan,Outbound,0,0,0,,POINT (-73.904084 40.695602),POINT (-73.904084 40.695602),-8226964.9984233165,4967546.17792994,False,POINT (-73.904084 40.695602)
724,466,609,IRT,Flushing,5 Av,M,True,7,Subway,40.753821,-73.981963,Queens,Hudson Yards,0,0,0,,POINT (-73.981963 40.753821),POINT (-73.981963 40.753821),-8235634.449046805,4976097.849528793,True,POINT (-73.981963 40.753821)
F21,237,237,IND,6th Av - Culver,Carroll St,Bk,False,F G,Subway,40.680303,-73.995048,Northbound,Southbound,0,0,0,,POINT (-73.995048 40.680303),POINT (-73.995048 40.680303),-8237091.064583836,4965300.178907575,False,POINT (-73.995048 40.680303)
241,353,353,IRT,Nostrand,President St-Medgar Evers College,Bk,False,2 5,Subway,40.667883,-73.950683,Manhattan,Flatbush,0,0,0,,POINT (-73.950683 40.667883),POINT (-73.950683 40.667883),-8232152.375374792,4963477.216077589,False,POINT (-73.950683 40.667883)
F29,244,244,IND,6th Av - Culver,Ditmas Av,Bk,False,F,Elevated,40.636119,-73.978172,Manhattan,Southbound,0,0,0,,POINT (-73.978172 40.636119),POINT (-73.978172 40.636119),-8235212.436857209,4958816.5544777475,False,POINT (-73.978172 40.636119)
F35,250,250,IND,6th Av - Culver,Kings Hwy,Bk,False,F,Elevated,40.603217,-73.972361,Manhattan,Southbound,0,0,0,,POINT (-73.972361 40.603217),POINT (-73.972361 40.603217),-8234565.559296209,4953991.25405467,False,POINT (-73.972361 40.603217)
415,390,603,IRT,Jerome Av,149 St-Grand Concourse,Bx,False,4,Subway,40.818375,-73.927351,Northbound,Manhattan,0,0,0,,POINT (-73.927351 40.818375),POINT (-73.927351 40.818375),-8229555.0690156035,4985588.816193265,False,POINT (-73.927351 40.818375)
S22,510,510,SIR,Staten Island,New Dorp,SI,False,SIR,Open Cut,40.57348,-74.11721,Ferry,South Shore,1,1,1,,POINT (-74.11721 40.57348),POINT (-74.11721 40.57348),-8250690.0762181245,4949632.165351871,False,POINT (-74.11721 40.57348)
H07,205,205,IND,Rockaway,Beach 60 St,Q,False,A,Viaduct,40.592374,-73.788522,Manhattan,Far Rockaway,0,0,0,,POINT (-73.788522 40.592374),POINT (-73.788522 40.592374),-8214100.695428264,4952401.5753346775,False,POINT (-73.788522 40.592374)
222,435,603,IRT,Lenox - White Plains Rd,149 St-Grand Concourse,Bx,False,2 5,Subway,40.81841,-73.926718,Northbound,Manhattan,0,0,0,,POINT (-73.926718 40.81841),POINT (-73.926718 40.81841),-8229484.603777931,4985593.964525785,False,POINT (-73.926718 40.81841)
R31,27,617,BMT,4th Av,Atlantic Av-Barclays Ctr,Bk,False,D N R,Subway,40.683666,-73.97881,Manhattan,Southbound,1,1,1,,POINT (-73.97881 40.683666),POINT (-73.97881 40.683666),-8235283.458692334,4965793.84635824,False,POINT (-73.97881 40.683666)
209,422,422,IRT,Lenox - White Plains Rd,Burke Av,Bx,False,2 5,Elevated,40.871356,-73.867164,Northbound,Manhattan,0,0,0,,POINT (-73.867164 40.871356),POINT (-73.867164 40.871356),-8222855.082823229,4993385.180687469,False,POINT (-73.867164 40.871356)
D25,41,41,BMT,Broadway - Brighton,7 Av,Bk,False,B Q,Subway,40.67705,-73.972367,Manhattan,Southbound,0,0,0,,POINT (-73.972367 40.67705),POINT (-73.972367 40.67705),-8234566.227213155,4964822.682468463,False,POINT (-73.972367 40.67705)
D39,54,54,BMT,Broadway - Brighton,Sheepshead Bay,Bk,False,B Q,Open Cut,40.586896,-73.954155,Manhattan,Southbound,1,1,1,,POINT (-73.954155 40.586896),POINT (-73.954155 40.586896),-8232538.876646826,4951598.55059592,False,POINT (-73.954155 40.586896)
B12,59,59,BMT,West End,9 Av,Bk,False,D,Open Cut,40.646292,-73.994324,Manhattan,Southbound,0,0,0,,POINT (-73.994324 40.646292),POINT (-73.994324 40.646292),-8237010.469272502,4960308.97483617,False,POINT (-73.994324 40.646292)
A32,167,167,IND,8th Av - Fulton St,W 4 St-Wash Sq,M,True,A C E,Subway,40.732338,-74.000495,Uptown,Downtown,1,1,1,,POINT (-74.000495 40.732338),POINT (-74.000495 40.732338),-8237697.421850187,4972941.383939534,True,POINT (-74.000495 40.732338)
G07,280,280,IND,Queens - Archer,Jamaica-Van Wyck,Q,False,E,Subway,40.702566,-73.816859,Jamaica,Manhattan,1,1,1,,POINT (-73.816859 40.702566),POINT (-73.816859 40.702566),-8217255.155838873,4968568.712114175,False,POINT (-73.816859 40.702566)
G24,282,282,IND,Crosstown,21 St,Q,False,G,Subway,40.744065,-73.949724,Court Square,Brooklyn,0,0,0,,POINT (-73.949724 40.744065),POINT (-73.949724 40.744065),-8232045.619983123,4974664.288428708,False,POINT (-73.949724 40.744065)
A11,150,150,IND,8th Av - Fulton St,155 St,M,False,C,Subway,40.830518,-73.941514,Uptown,Downtown,0,0,0,,POINT (-73.941514 40.830518),POINT (-73.941514 40.830518),-8231131.686963709,4987375.156435375,False,POINT (-73.941514 40.830518)
413,388,388,IRT,Jerome Av,167 St,Bx,False,4,Elevated,40.835537,-73.9214,Northbound,Manhattan,0,0,0,,POINT (-73.9214 40.835537),POINT (-73.9214 40.835537),-8228892.606725894,4988113.590259471,False,POINT (-73.9214 40.835537)
101,293,293,IRT,Broadway - 7Av,Van Cortlandt Park-242 St,Bx,False,1,Elevated,40.889248,-73.898583,Last Stop,Manhattan,0,0,0,,POINT (-73.898583 40.889248),POINT (-73.898583 40.889248),-8226352.629904463,4996019.468389016,False,POINT (-73.898583 40.889248)
